,busno,busid,stationid,stationnm,x,y
0,0017,100100124,03689,청암자이아파트,126.946517,37.534363
1,0017,100100124,03298,청암동강변삼성아파트,126.949304,37.533961
2,0017,100100124,03321,청심경로당,126.950449,37.533744
3,0017,100100124,03304,원효2동주민센터,126.950904,37.534278
4,0017,100100124,03306,산천동,126.953984,37.53542
5,0017,100100124,03308,신창동세방아파트,126.955032,37.535749
6,0017,100100124,03310,남이장군사당,126.957957,37.536707
7,0017,100100124,03312,새마을금고,126.959503,37.537126
8,0017,100100124,03247,용문시장,126.960735,37.53663
9,0017,100100124,03250,용산전자상가입구,126.962043,37.534483
10,0017,100100124,03252,신용산.지하차도,126.9639,37.532657
11,0017,100100124,03119,신용산역3번출구,126.967324,37.528757
12,0017,100100124,03255,용산역,126.965931,37.528414
13,0017,100100124,03256,용사의집,126.964519,37.527193
14,0017,100100124,03122,한강로동웨딩코리아,126.964006,37.52525
15,0017,100100124,03294,서부이촌동입구,126.959676,37.523697
16,0017,100100124,03292,이촌2동대림아파트.새남터성지,126.956279,37.526148
17,0017,100100124,03290,이촌2동주민센터,126.955013,37.527717
18,0017,100100124,03288,이촌2동부영주유소,126.954556,37.530174
19,0017,100100124,03287,이촌119안전센터.성촌공원,126.95304,37.530169
20,0017,100100124,03296,원효2동산호아파트후문,126.94972,37.532563
21,0017,100100124,03298,청암동강변삼성아파트,126.949304,37.533961
22,0017,100100124,03299,원효2동산호아파트,126.950588,37.53308
23,0017,100100124,03301,현대자동차써비스,126.953552,37.532241
24,0017,100100124,03289,이촌2동부영주유소,126.954443,37.529743
25,0017,100100124,03291,이촌2동주민센터,126.954763,37.527969
26,0017,100100124,03293,이촌2동대림아파트.새남터성지,126.956231,37.526069
27,0017,100100124,03295,이촌2동강변아파트,126.959844,37.523515
28,0017,100100124,03001,한강대교북단,126.963173,37.524101
29,0017,100100124,03003,신용산역,126.966144,37.52728
30,0017,100100124,03253,신용산역,126.96763,37.529986
