업체명,"노선
번호",유형,기점,종점,"인가
대수","운행
대수","예비
대수","예비
투입","정상
대수","단축
대수","인가
거리","운행
시간",정규,단축,"총운행
횟수",최소,최대,"첫차
시간","막차
시간"
북부운수,2,순환,남산타워,남산타워,6,5,1,0,5,0,16,60,10,0,50,9,13,0700,2330
북부운수,3,순환,남산서울타워,남산서울타워,4,4,0,0,4,0,14,55,12,0,48,18,22,0700,2330
북부운수,5,순환,남산서울타워,남산서울타워,4,4,0,0,4,0,11,50,12,0,48,18,22,0730,2330
보광교통,17,지선,산천동,이촌동,10,9,1,0,7,2,12,60,15,8,121,8,12,0515,2330
한성여객,100,간선,하계동,용산구청,32,29,3,0,25,4,57,205,4,2,113,8,12,0400,2240
동아운수,101,간선,우이동,서소문,24,22,2,0,21,1,38,165,6,3,129,5,10,0400,2300
한성운수,101,간선,우이동,서소문,7,6,1,0,5,1,38,165,6,3,33,5,10,0400,2300
흥안운수,102,간선,상계주공7단지,동대문,18,17,1,1,15,2,30,108,8,4,128,6,11,0400,2310
삼화상운,103,간선,월계동,서울역,25,24,1,0,20,4,30,128,7,4,162,5,8,0430,2300
선일교통,104,간선,강북청소년수련관,서울역버스환승센터,27,23,4,0,22,1,31,145,8,4,176,5,10,0355,2330
흥안운수,105,간선,상계주공7단지,서울역,21,20,1,0,18,2,39,145,6,3,107,8,12,0400,2240
대원여객,106,간선,의정부,종로5가,33,31,2,0,30,1,45,153,6,3,183,3,6,0400,2300
대원여객,107,간선,민락동,동대문,34,32,2,0,30,2,65,230,4,2,129,8,12,0400,2300
대원여객,108,간선,양주 덕정리,종로5가,26,25,1,0,23,2,88,210,4,2,96,9,13,0400,0000
영신여객,109,간선,우이동,광화문,22,21,1,0,19,2,28,122,7,4,149,6,10,0427,2320
영신여객,120,간선,우이동,청량리,32,31,1,0,29,2,33,142,6,4,194,4,8,0425,2310
동아운수,121,간선,화계사,서울숲,27,25,2,0,23,2,34,145,7,4,164,5,9,0400,2230
삼양교통,130,간선,우이동,길동,41,37,4,2,34,3,49,175,6,3,208,4,12,0420,2250
한국brt자동차,140,간선,도봉차고지,내곡IC,46,44,2,0,44,0,67,235,4,0,176,4,8,0400,2250
아진교통,141,간선,도봉산,염곡동,40,37,3,0,32,5,54,192,5,2,154,5,12,0400,2240
아진교통,142,간선,도봉산,방배동,40,37,3,0,32,5,59,200,4,2,148,5,12,0400,2245
대진여객,143,간선,정릉,개포동,55,51,4,0,51,0,65,250,4,2,204,4,7,0400,2210
삼양교통,144,간선,우이동,교대,42,40,2,0,36,4,49,205,5,3,186,4,12,0430,2250
한성운수,145,간선,번동,강남역,38,36,2,0,32,4,46,165,6,3,191,4,10,0400,2300
삼화상운,146,간선,상계주공7단지,강남역,13,11,2,1,10,1,57,203,4,2,48,1,10,0405,2320
흥안운수,146,간선,상계주공7단지,강남역,31,28,3,2,24,4,57,203,4,2,122,1,10,0405,2320
진아교통,147,간선,월계동,도곡동,41,37,4,1,32,5,46,190,5,3,175,5,10,0400,2240
한성운수,148,간선,번동,방배동,36,34,2,0,31,3,45,165,6,3,183,4,10,0400,2300
서울교통네트웍,150,간선,도봉산역,기아대교,53,51,2,0,51,0,75,256,4,0,184,6,9,0400,2210
동아운수,151,간선,우이동,중앙대,37,34,3,0,33,1,47,185,5,3,168,4,10,0400,2250
동아운수,152,간선,화계사,삼막사사거리,51,48,3,0,46,2,64,240,4,2,188,4,8,0400,2220
동아운수,153,간선,우이동,당곡사거리,48,45,3,0,43,2,67,230,4,2,176,4,8,0400,2220
서울교통네트웍,160,간선,도봉산역,온수동종점,47,46,1,0,44,2,70,239,4,2,180,6,9,0400,2230
대진여객,162,간선,정릉,여의도,31,28,3,0,28,0,38,155,6,4,168,5,8,0400,2250
삼화상운,163,간선,월계동,목동,31,30,1,0,28,2,67,235,4,2,116,6,13,0400,2220
도원교통,171,간선,상암동,정릉(국민대),29,29,0,0,27,2,45,165,6,3,163,6,10,0400,2300
한성여객,172,간선,하계동,상암동,29,27,2,0,24,3,47,177,5,2,121,6,10,0400,2300
대원여객,201,간선,수택동차고지,서울역환승센터,21,19,2,0,19,0,52,198,5,3,86,11,15,0400,2400
태릉교통,202,간선,불암동,후암동,39,36,3,0,35,1,53,210,5,2,163,5,10,0400,2200
대원교통,240,간선,중랑공영차고지,신사역사거리,25,23,2,0,21,2,42,160,5,3,111,7,14,0400,2300
대원교통,241,간선,중랑공영차고지,신내동,31,28,3,2,28,0,51,210,5,3,141,6,10,0400,2300
대원교통,242,간선,중랑공영차고,개포동,21,19,2,0,19,0,47,215,5,2,86,10,16,0430,2300
